Count_Nuclei,Count_RO_PositiveNuclei,Count_h2AX,FileName_DAPI,FileName_Green,Group,ImageNumber,Math_PercentPositiveNuclei,Experiment
35,15,68,E25_NIC2_42_DAPI.TIF,E25_NIC2_42_FITC.TIF,25mg,64,42.85714286,2
24,5,51,E25_NIC2_43_DAPI.TIF,E25_NIC2_43_FITC.TIF,25mg,65,20.83333333,2
30,16,65,E25_NIC2_44_DAPI.TIF,E25_NIC2_44_FITC.TIF,25mg,66,53.33333333,2
51,17,52,E25_NIC2_45_DAPI.TIF,E25_NIC2_45_FITC.TIF,25mg,67,33.33333333,2
25,10,57,E25_NIC2_46_DAPI.TIF,E25_NIC2_46_FITC.TIF,25mg,68,40,2
18,5,7,E26_NIC2_49_DAPI.TIF,E26_NIC2_49_FITC.TIF,25mg,71,27.77777778,2
25,12,49,E26_NIC2_50_DAPI.TIF,E26_NIC2_50_FITC.TIF,25mg,72,48,3
16,8,26,E26_NIC2_54_DAPI.TIF,E26_NIC2_54_FITC.TIF,25mg,76,50,3
21,8,29,E26_NIC2_55_DAPI.TIF,E26_NIC2_55_FITC.TIF,25mg,77,38.0952381,3
15,14,123,E26_NIC2_56_DAPI.TIF,E26_NIC2_56_FITC.TIF,25mg,78,93.33333333,3
27,5,65,E26_NIC2_57_DAPI.TIF,E26_NIC2_57_FITC.TIF,25mg,79,18.51851852,3
16,4,21,E26_NIC2_59_DAPI.TIF,E26_NIC2_59_FITC.TIF,25mg,81,25,3
17,11,79,E27_NIC1_60_DAPI.TIF,E27_NIC1_60_FITC.TIF,25mg,82,64.70588235,2
19,10,34,E27_NIC1_61_DAPI.TIF,E27_NIC1_61_FITC.TIF,12.5mg,83,52.63157895,2
16,9,29,E27_NIC1_63_DAPI.TIF,E27_NIC1_63_FITC.TIF,12.5mg,85,56.25,2
28,21,123,E27_NIC1_64_DAPI.TIF,E27_NIC1_64_FITC.TIF,12.5mg,86,75,2
23,10,51,E27_NIC1_67_DAPI.TIF,E27_NIC1_67_FITC.TIF,12.5mg,89,43.47826087,2
17,4,19,E27_NIC1_68_DAPI.TIF,E27_NIC1_68_FITC.TIF,12.5mg,90,23.52941176,2
25,17,75,E28_NIC1_70_DAPI.TIF,E28_NIC1_70_FITC.TIF,12.5mg,92,68,3
16,4,11,E28_NIC1_71_DAPI.TIF,E28_NIC1_71_FITC.TIF,12.5mg,93,25,3
25,10,42,E28_NIC1_72_DAPI.TIF,E28_NIC1_72_FITC.TIF,12.5mg,94,40,3
17,5,15,E28_NIC1_73_DAPI.TIF,E28_NIC1_73_FITC.TIF,12.5mg,95,29.41176471,3
35,11,52,E28_NIC1_74_DAPI.TIF,E28_NIC1_74_FITC.TIF,12.5mg,96,31.42857143,3
65,21,72,E28_NIC1_75_DAPI.TIF,E28_NIC1_75_FITC.TIF,12.5mg,97,32.30769231,3
46,11,51,E28_NIC1_76_DAPI.TIF,E28_NIC1_76_FITC.TIF,12.5mg,98,23.91304348,3
35,16,80,E28_NIC1_77_DAPI.TIF,E28_NIC1_77_FITC.TIF,12.5mg,99,45.71428571,3
15,7,15,E28_NIC1_78_DAPI.TIF,E28_NIC1_78_FITC.TIF,12.5mg,100,46.66666667,3
32,13,100,E28_NIC1_79_DAPI.TIF,E28_NIC1_79_FITC.TIF,12.5mg,101,40.625,3
28,22,248,E29_CSE_86_DAPI.TIF,E29_CSE_86_FITC.TIF,CSE,103,78.57142857,2
22,17,259,E29_CSE_87_DAPI.TIF,E29_CSE_87_FITC.TIF,CSE,104,77.27272727,2
34,21,201,E29_CSE_88_DAPI.TIF,E29_CSE_88_FITC.TIF,CSE,105,61.76470588,2
25,19,113,E29_CSE_89_DAPI.TIF,E29_CSE_89_FITC.TIF,CSE,106,76,2
29,21,294,E29_CSE_90_DAPI.TIF,E29_CSE_90_FITC.TIF,CSE,107,72.4137931,2
22,19,192,E29_CSE_91_DAPI.TIF,E29_CSE_91_FITC.TIF,CSE,108,86.36363636,2
15,11,47,E29_CSE_92_DAPI.TIF,E29_CSE_92_FITC.TIF,CSE,109,73.33333333,2
21,13,120,E29_CSE_93_DAPI.TIF,E29_CSE_93_FITC.TIF,CSE,110,61.9047619,2
21,11,162,E29_CSE_94_DAPI.TIF,E29_CSE_94_FITC.TIF,CSE,111,52.38095238,2
32,18,260,E29_CSE_95_DAPI.TIF,E29_CSE_95_FITC.TIF,CSE,112,56.25,2
27,20,185,E29_CSE_96_DAPI.TIF,E29_CSE_96_FITC.TIF,CSE,113,74.07407407,2
21,17,153,E29_CSE_97_DAPI.TIF,E29_CSE_97_FITC.TIF,CSE,114,80.95238095,2
27,21,157,E30_CSE_100_DAPI.TIF,E30_CSE_100_FITC.TIF,CSE,115,77.77777778,3
24,22,188,E30_CSE_101_DAPI.TIF,E30_CSE_101_FITC.TIF,CSE,116,91.66666667,3
20,15,203,E30_CSE_102_DAPI.TIF,E30_CSE_102_FITC.TIF,CSE,117,75,3
33,17,145,E30_CSE_103_DAPI.TIF,E30_CSE_103_FITC.TIF,CSE,118,51.51515152,3
21,12,86,E30_CSE_104_DAPI.TIF,E30_CSE_104_FITC.TIF,CSE,119,57.14285714,3
20,19,65,E30_CSE_105_DAPI.TIF,E30_CSE_105_FITC.TIF,CSE,120,95,3
20,17,122,E30_CSE_106_DAPI.TIF,E30_CSE_106_FITC.TIF,CSE,121,85,3
20,8,38,E30_CSE_109_DAPI.TIF,E30_CSE_109_FITC.TIF,CSE,124,40,3
18,13,92,E30_CSE_110_DAPI.TIF,E30_CSE_110_FITC.TIF,CSE,125,72.22222222,3
47,26,242,E30_CSE_98_DAPI.TIF,E30_CSE_98_FITC.TIF,CSE,126,55.31914894,3
24,16,81,E30_CSE_99_DAPI.TIF,E30_CSE_99_FITC.TIF,CSE,127,66.66666667,3
29,13,89,E31_CONTROL_111_DAPI.TIF,E31_CONTROL_111_FITC.TIF,Control,128,44.82758621,2
24,10,47,E31_CONTROL_112_DAPI.TIF,E31_CONTROL_112_FITC.TIF,Control,129,41.66666667,2
16,7,49,E31_CONTROL_113_DAPI.TIF,E31_CONTROL_113_FITC.TIF,Control,130,43.75,2
17,4,25,E31_CONTROL_114_DAPI.TIF,E31_CONTROL_114_FITC.TIF,Control,131,23.52941176,2
33,18,152,E31_CONTROL_115_DAPI.TIF,E31_CONTROL_115_FITC.TIF,Control,132,54.54545455,2
26,11,52,E31_CONTROL_116_DAPI.TIF,E31_CONTROL_116_FITC.TIF,Control,133,42.30769231,2
27,15,66,E31_CONTROL_117_DAPI.TIF,E31_CONTROL_117_FITC.TIF,Control,134,55.55555556,2
30,15,81,E31_CONTROL_118_DAPI.TIF,E31_CONTROL_118_FITC.TIF,Control,135,50,2
29,13,82,E31_CONTROL_119_DAPI.TIF,E31_CONTROL_119_FITC.TIF,Control,136,44.82758621,2
28,12,40,E31_CONTROL_120_DAPI.TIF,E31_CONTROL_120_FITC.TIF,Control,137,42.85714286,2
41,17,62,E31_CONTROL_121_DAPI.TIF,E31_CONTROL_121_FITC.TIF,Control,138,41.46341463,2
29,19,153,E31_CONTROL_122_DAPI.TIF,E31_CONTROL_122_FITC.TIF,Control,139,65.51724138,2
22,12,161,E31_CONTROL_123_DAPI.TIF,E31_CONTROL_123_FITC.TIF,Control,140,54.54545455,2
16,9,51,E32_CONTROL_124_DAPI.TIF,E32_CONTROL_124_FITC.TIF,Control,141,56.25,3
22,16,130,E32_CONTROL_125_DAPI.TIF,E32_CONTROL_125_FITC.TIF,Control,142,72.72727273,3
30,19,151,E32_CONTROL_126_DAPI.TIF,E32_CONTROL_126_FITC.TIF,Control,143,63.33333333,3
24,12,46,E32_CONTROL_127_DAPI.TIF,E32_CONTROL_127_FITC.TIF,Control,144,50,3
52,22,132,E32_CONTROL_128_DAPI.TIF,E32_CONTROL_128_FITC.TIF,Control,145,42.30769231,3
60,26,116,E32_CONTROL_129_DAPI.TIF,E32_CONTROL_129_FITC.TIF,Control,146,43.33333333,3
